id,vehicle,step,position_x,position_y,velocity_x,velocity_y,acceleration_x,acceleration_y,rolling_velocity_x,rolling_acceleration_x,max_interaction_force,max_interaction_id,border_force,nudge_force,driving_force_x,driving_force_y
0,ebike,338,5.7875214,-1.1682386,6.0525227,-0.16381216,1.5519952,-0.4813232,0.09977161,1.574276,0.0,,-0.5783825,0.0,1.5519952,0.09705929
0,ebike,339,5.889255,-1.1710923,6.0783863,-0.16324137,1.5374839,-0.47872818,0.10021312,1.5595591,0.0,,-0.5754926,0.0,1.5374839,0.096764445
0,ebike,340,5.9914117,-1.1739355,6.104021,-0.16265702,1.5231153,-0.4761514,0.100650445,1.5449816,0.0,,-0.5726134,0.0,1.5231153,0.096462004
0,ebike,341,6.0939875,-1.1767682,6.1293983,-0.16206586,1.5088737,-0.47359306,0.10108374,1.5305384,0.0,,-0.569745,0.0,1.5088737,0.09615196
0,ebike,342,6.1969786,-1.1795901,6.1545467,-0.16146111,1.4947753,-0.4710494,0.1015129,1.5162332,0.0,,-0.5668875,0.0,1.4947753,0.0958381
0,ebike,343,6.300381,-1.1824011,6.1794662,-0.16084957,1.4808034,-0.4685245,0.101938054,1.5020614,0.0,,-0.56404114,0.0,1.4808034,0.09551665
0,ebike,344,6.4041915,-1.1852009,6.204157,-0.16022444,1.4669597,-0.4660148,0.10235927,1.4880207,0.0,,-0.56120616,0.0,1.4669597,0.095191374
0,ebike,345,6.5084057,-1.1879896,6.2286186,-0.15959251,1.4532422,-0.46352407,0.10277661,1.4741093,0.0,,-0.5583826,0.0,1.4532422,0.09485849
0,ebike,346,6.61302,-1.1907669,6.2528515,-0.15895379,1.4396523,-0.4610488,0.103190094,1.4603266,0.0,,-0.5555706,0.0,1.4396523,0.09452178
0,ebike,347,6.7180305,-1.1935328,6.2768555,-0.15830827,1.4261897,-0.45858908,0.103599735,1.4466717,0.0,,-0.5527703,0.0,1.4261897,0.094181255
0,ebike,348,6.8234334,-1.1962872,6.3006306,-0.15765595,1.4128541,-0.45614493,0.104005545,1.4331447,0.0,,-0.54998183,0.0,1.4128541,0.093836896
0,ebike,349,6.929225,-1.1990298,6.324177,-0.15699685,1.3996457,-0.4537166,0.104407534,1.4197451,0.0,,-0.5472053,0.0,1.3996457,0.09348872
0,ebike,350,7.035402,-1.2017606,6.347494,-0.15633094,1.3865645,-0.4513041,0.10480571,1.4064729,0.0,,-0.5444408,0.0,1.3865645,0.093136705
0,ebike,351,7.14196,-1.2044797,6.370611,-0.15565825,1.3736104,-0.4489076,0.10520005,1.393328,0.0,,-0.5416885,0.0,1.3736104,0.09278087
0,ebike,352,7.2488966,-1.2071868,6.3934994,-0.15498553,1.3607676,-0.44652715,0.105590776,1.3803039,0.0,,-0.53894836,0.0,1.3607676,0.092421204
0,ebike,353,7.3562074,-1.209882,6.4161873,-0.15430604,1.3480519,-0.444159,0.105977796,1.367403,0.0,,-0.5362205,0.0,1.3480519,0.09206148
0,ebike,354,7.463889,-1.2125652,6.4386463,-0.15362655,1.3354475,-0.44180697,0.10636126,1.3546208,0.0,,-0.5335049,0.0,1.3354475,0.09169794
0,ebike,355,7.5719385,-1.2152363,6.460905,-0.15294027,1.3229703,-0.43946737,0.10674107,1.3419607,0.0,,-0.5308017,0.0,1.3229703,0.091334336
0,ebike,356,7.6803517,-1.2178953,6.4829636,-0.15225399,1.3106043,-0.437144,0.10711734,1.3294182,0.0,,-0.5281109,0.0,1.3106043,0.0909669
0,ebike,357,7.7891254,-1.2205421,6.504793,-0.1515609,1.2983496,-0.43483323,0.10749017,1.3169907,0.0,,-0.52543265,0.0,1.2983496,0.09059942
0,ebike,358,7.8982563,-1.2231767,6.5264225,-0.15086782,1.2862221,-0.43253878,0.10785939,1.3046832,0.0,,-0.5227669,0.0,1.2862221,0.0902281
0,ebike,359,8.007741,-1.2257992,6.5478516,-0.15017474,1.2742058,-0.4302569,0.10822512,1.2924923,0.0,,-0.52011365,0.0,1.2742058,0.08985674
0,ebike,360,8.117577,-1.2284094,6.5690804,-0.14948164,1.2623012,-0.4279876,0.108587414,1.2804158,0.0,,-0.5174729,0.0,1.2623012,0.08948531
0,ebike,361,8.227759,-1.2310073,6.5901375,-0.14878178,1.250507,-0.425731,0.108946316,1.2684523,0.0,,-0.51484483,0.0,1.250507,0.08911382
0,ebike,362,8.338286,-1.233593,6.6109657,-0.1480819,1.2388085,-0.42349082,0.109302044,1.2565948,0.0,,-0.5122293,0.0,1.2388085,0.088738516
0,ebike,363,8.449154,-1.2361664,6.6316223,-0.14738202,1.2272378,-0.4212633,0.10965434,1.2448521,0.0,,-0.50962645,0.0,1.2272378,0.08836315
0,ebike,364,8.560359,-1.2387275,6.65205,-0.14668214,1.2157614,-0.4190485,0.11000342,1.2332158,0.0,,-0.5070362,0.0,1.2157614,0.08798773
